atoll_idx,rf_idx,match_distance_m,lon,lat,x_m,y_m,atoll_dbm,rf_lon,rf_lat,rf_x_m,rf_y_m,rf_dbm,antenna_id,error_db,abs_error_db
41,27205,0.00014692926544620485,-78.99059161,-2.918157788,-78.99059161,-2.918157788,-101.625,-78.990691,-2.918266,-78.990691,-2.918266,-97.22,12478835-e640-47cd-a90e-e82509a23dc1,4.405000000000001,4.405000000000001
42,27206,0.00014847155957624313,-78.99034881,-2.918157352,-78.99034881,-2.918157352,-101.5625,-78.99045,-2.918266,-78.99045,-2.918266,-97.23,12478835-e640-47cd-a90e-e82509a23dc1,4.332499999999996,4.332499999999996
43,27207,0.00014934295783746576,-78.990106,-2.918156916,-78.990106,-2.918156916,-101.5625,-78.990208,-2.918266,-78.990208,-2.918266,-97.32,12478835-e640-47cd-a90e-e82509a23dc1,4.242500000000007,4.242500000000007
44,27208,0.0001508949616095387,-78.9898632,-2.918156479,-78.9898632,-2.918156479,-101.625,-78.989967,-2.918266,-78.989967,-2.918266,-97.41,12478835-e640-47cd-a90e-e82509a23dc1,4.215000000000003,4.215000000000003
45,27209,0.00015176888334131715,-78.98962039,-2.918156043,-78.98962039,-2.918156043,-101.6875,-78.989725,-2.918266,-78.989725,-2.918266,-97.48,12478835-e640-47cd-a90e-e82509a23dc1,4.207499999999996,4.207499999999996
46,27210,0.0001533287401277086,-78.98937759,-2.918155607,-78.98937759,-2.918155607,-101.6875,-78.989484,-2.918266,-78.989484,-2.918266,-97.53,12478835-e640-47cd-a90e-e82509a23dc1,4.157499999999999,4.157499999999999
47,27211,0.00015490201948746283,-78.98913478,-2.918155171,-78.98913478,-2.918155171,-101.6875,-78.989243,-2.918266,-78.989243,-2.918266,-97.57,12478835-e640-47cd-a90e-e82509a23dc1,4.117500000000007,4.117500000000007
48,27212,0.00015577382050677778,-78.98889198,-2.918154734,-78.98889198,-2.918154734,-101.6875,-78.989001,-2.918266,-78.989001,-2.918266,-97.56,12478835-e640-47cd-a90e-e82509a23dc1,4.127499999999998,4.127499999999998
49,27213,0.0001573480511627065,-78.98864918,-2.918154298,-78.98864918,-2.918154298,-101.75,-78.98876,-2.918266,-78.98876,-2.918266,-97.65,12478835-e640-47cd-a90e-e82509a23dc1,4.099999999999994,4.099999999999994
50,27214,0.00015893606330432737,-78.98840637,-2.918153861,-78.98840637,-2.918153861,-101.8125,-78.988519,-2.918266,-78.988519,-2.918266,-97.77,12478835-e640-47cd-a90e-e82509a23dc1,4.042500000000004,4.042500000000004
51,27215,0.00015981081166430768,-78.98816357,-2.918153425,-78.98816357,-2.918153425,-101.8125,-78.988277,-2.918266,-78.988277,-2.918266,-97.87,12478835-e640-47cd-a90e-e82509a23dc1,3.9424999999999955,3.9424999999999955
52,27216,0.00016140622585225403,-78.98792076,-2.918152988,-78.98792076,-2.918152988,-101.875,-78.988036,-2.918266,-78.988036,-2.918266,-98.05,12478835-e640-47cd-a90e-e82509a23dc1,3.825000000000003,3.825000000000003
53,27217,0.000162999418113955,-78.98767796,-2.918152552,-78.98767796,-2.918152552,-101.875,-78.987795,-2.918266,-78.987795,-2.918266,-98.25,12478835-e640-47cd-a90e-e82509a23dc1,3.625,3.625
54,27218,0.00016387818288410037,-78.98743516,-2.918152115,-78.98743516,-2.918152115,-101.875,-78.987553,-2.918266,-78.987553,-2.918266,-98.31,12478835-e640-47cd-a90e-e82509a23dc1,3.5649999999999977,3.5649999999999977
55,27219,0.0001654860785216446,-78.98719235,-2.918151678,-78.98719235,-2.918151678,-101.9375,-78.987312,-2.918266,-78.987312,-2.918266,-98.48,12478835-e640-47cd-a90e-e82509a23dc1,3.457499999999996,3.457499999999996
56,27221,0.00016643896954241492,-78.98694955,-2.918151241,-78.98694955,-2.918151241,-102.0,-78.986829,-2.918266,-78.986829,-2.918266,-98.62,12478835-e640-47cd-a90e-e82509a23dc1,3.3799999999999955,3.3799999999999955
57,27483,0.00012197285396823981,-78.99593374,-2.917923248,-78.99593374,-2.917923248,-101.9375,-78.996001,-2.918025,-78.996001,-2.918025,-98.42,12478835-e640-47cd-a90e-e82509a23dc1,3.5174999999999983,3.5174999999999983
58,27484,0.0001227776305746036,-78.99569094,-2.917922813,-78.99569094,-2.917922813,-101.9375,-78.995759,-2.918025,-78.995759,-2.918025,-98.25,12478835-e640-47cd-a90e-e82509a23dc1,3.6875,3.6875
59,27485,0.00012414947355751535,-78.99544813,-2.917922378,-78.99544813,-2.917922378,-101.875,-78.995518,-2.918025,-78.995518,-2.918025,-98.12,12478835-e640-47cd-a90e-e82509a23dc1,3.7549999999999955,3.7549999999999955
60,27486,0.00012552822052657866,-78.99520533,-2.917921943,-78.99520533,-2.917921943,-101.75,-78.995277,-2.918025,-78.995277,-2.918025,-97.96,12478835-e640-47cd-a90e-e82509a23dc1,3.7900000000000063,3.7900000000000063
61,27487,0.000126348504003862,-78.99496252,-2.917921508,-78.99496252,-2.917921508,-101.6875,-78.995035,-2.918025,-78.995035,-2.918025,-97.85,12478835-e640-47cd-a90e-e82509a23dc1,3.8375000000000057,3.8375000000000057
62,27488,0.00012774325707418406,-78.99471972,-2.917921073,-78.99471972,-2.917921073,-101.625,-78.994794,-2.918025,-78.994794,-2.918025,-97.77,12478835-e640-47cd-a90e-e82509a23dc1,3.855000000000004,3.855000000000004
63,27489,0.00012914950036270906,-78.99447692,-2.917920638,-78.99447692,-2.917920638,-101.5625,-78.994553,-2.918025,-78.994553,-2.918025,-97.7,12478835-e640-47cd-a90e-e82509a23dc1,3.862499999999997,3.862499999999997
64,27490,0.00012997958649122777,-78.99423411,-2.917920202,-78.99423411,-2.917920202,-101.5,-78.994311,-2.918025,-78.994311,-2.918025,-97.65,12478835-e640-47cd-a90e-e82509a23dc1,3.8499999999999943,3.8499999999999943
65,27491,0.0001314005342008995,-78.99399131,-2.917919767,-78.99399131,-2.917919767,-101.4375,-78.99407,-2.918025,-78.99407,-2.918025,-97.61,12478835-e640-47cd-a90e-e82509a23dc1,3.8275000000000006,3.8275000000000006
66,27492,0.00013223455003805463,-78.9937485,-2.917919332,-78.9937485,-2.917919332,-101.4375,-78.993828,-2.918025,-78.993828,-2.918025,-97.52,12478835-e640-47cd-a90e-e82509a23dc1,3.917500000000004,3.917500000000004
67,27493,0.00013367029893285177,-78.9935057,-2.917918896,-78.9935057,-2.917918896,-101.4375,-78.993587,-2.918025,-78.993587,-2.918025,-97.41,12478835-e640-47cd-a90e-e82509a23dc1,4.027500000000003,4.027500000000003
68,27494,0.00013512154018479575,-78.99326289,-2.917918461,-78.99326289,-2.917918461,-101.375,-78.993346,-2.918025,-78.993346,-2.918025,-97.31,12478835-e640-47cd-a90e-e82509a23dc1,4.064999999999998,4.064999999999998
69,27495,0.000135957069606949,-78.99302009,-2.917918026,-78.99302009,-2.917918026,-101.3125,-78.993104,-2.918025,-78.993104,-2.918025,-97.21,12478835-e640-47cd-a90e-e82509a23dc1,4.102500000000006,4.102500000000006
70,27496,0.00013742207428294506,-78.99277728,-2.91791759,-78.99277728,-2.91791759,-101.3125,-78.992863,-2.918025,-78.992863,-2.918025,-97.16,12478835-e640-47cd-a90e-e82509a23dc1,4.152500000000003,4.152500000000003
71,27497,0.00013888950436927714,-78.99253448,-2.917917155,-78.99253448,-2.917917155,-101.3125,-78.992622,-2.918025,-78.992622,-2.918025,-97.06,12478835-e640-47cd-a90e-e82509a23dc1,4.252499999999998,4.252499999999998
72,27498,0.0001397389131934929,-78.99229167,-2.917916719,-78.99229167,-2.917916719,-101.3125,-78.99238,-2.918025,-78.99238,-2.918025,-97.04,12478835-e640-47cd-a90e-e82509a23dc1,4.272499999999994,4.272499999999994
73,27499,0.00014121898947088798,-78.99204887,-2.917916283,-78.99204887,-2.917916283,-101.3125,-78.992139,-2.918025,-78.992139,-2.918025,-97.0,12478835-e640-47cd-a90e-e82509a23dc1,4.3125,4.3125
74,27500,0.00014271342860732957,-78.99180606,-2.917915848,-78.99180606,-2.917915848,-101.3125,-78.991898,-2.918025,-78.991898,-2.918025,-96.95,12478835-e640-47cd-a90e-e82509a23dc1,4.362499999999997,4.362499999999997
75,27501,0.00014356265999169182,-78.99156326,-2.917915412,-78.99156326,-2.917915412,-101.3125,-78.991656,-2.918025,-78.991656,-2.918025,-96.92,12478835-e640-47cd-a90e-e82509a23dc1,4.392499999999998,4.392499999999998
76,27502,0.00014506237340262043,-78.99132046,-2.917914976,-78.99132046,-2.917914976,-101.3125,-78.991415,-2.918025,-78.991415,-2.918025,-96.9,12478835-e640-47cd-a90e-e82509a23dc1,4.412499999999994,4.412499999999994
77,27503,0.00014657671746001223,-78.99107765,-2.91791454,-78.99107765,-2.91791454,-101.3125,-78.991174,-2.918025,-78.991174,-2.918025,-96.85,12478835-e640-47cd-a90e-e82509a23dc1,4.462500000000006,4.462500000000006
78,27504,0.00014743149363837308,-78.99083485,-2.917914104,-78.99083485,-2.917914104,-101.375,-78.990932,-2.918025,-78.990932,-2.918025,-96.85,12478835-e640-47cd-a90e-e82509a23dc1,4.525000000000006,4.525000000000006
79,27505,0.00014895601976583998,-78.99059204,-2.917913668,-78.99059204,-2.917913668,-101.3125,-78.990691,-2.918025,-78.990691,-2.918025,-96.87,12478835-e640-47cd-a90e-e82509a23dc1,4.4424999999999955,4.4424999999999955
80,27506,0.00015048143879902576,-78.99034924,-2.917913232,-78.99034924,-2.917913232,-101.3125,-78.99045,-2.918025,-78.99045,-2.918025,-96.89,12478835-e640-47cd-a90e-e82509a23dc1,4.422499999999999,4.422499999999999
81,27507,0.00015134795180531563,-78.99010643,-2.917912796,-78.99010643,-2.917912796,-101.375,-78.990208,-2.918025,-78.990208,-2.918025,-96.97,12478835-e640-47cd-a90e-e82509a23dc1,4.405000000000001,4.405000000000001
