atoll_idx,rf_idx,match_distance_m,lon,lat,x_m,y_m,atoll_dbm,rf_lon,rf_lat,rf_x_m,rf_y_m,rf_dbm,antenna_id,error_db,abs_error_db
31,40066,3.236585127863984e-05,-79.0000791,-2.907921677,-79.0000791,-2.907921677,-101.75,-79.000104,-2.907901,-79.000104,-2.907901,-102.95,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-1.2000000000000028,1.2000000000000028
32,40067,3.271558551739943e-05,-78.9998363,-2.907921244,-78.9998363,-2.907921244,-101.875,-78.999862,-2.907901,-78.999862,-2.907901,-103.46,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-1.5849999999999937,1.5849999999999937
33,40325,5.002177607499141e-05,-79.0100345,-2.907695241,-79.0100345,-2.907695241,-101.8125,-79.009999,-2.90766,-79.009999,-2.90766,-107.34,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-5.527500000000003,5.527500000000003
34,40326,4.845096201562814e-05,-79.0097917,-2.907694811,-79.0097917,-2.907694811,-101.625,-79.009758,-2.90766,-79.009758,-2.90766,-106.89,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-5.265000000000001,5.265000000000001
35,40327,4.7579462596984474e-05,-79.00954889,-2.907694381,-79.00954889,-2.907694381,-101.375,-79.009516,-2.90766,-79.009516,-2.90766,-106.43,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-5.055000000000007,5.055000000000007
36,40328,4.603466736693482e-05,-79.00930609,-2.90769395,-79.00930609,-2.90769395,-101.125,-79.009275,-2.90766,-79.009275,-2.90766,-105.97,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-4.844999999999999,4.844999999999999
37,40329,4.450740163619796e-05,-79.00906328,-2.90769352,-79.00906328,-2.90769352,-100.875,-79.009034,-2.90766,-79.009034,-2.90766,-105.49,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-4.614999999999995,4.614999999999995
38,40330,4.365767195870032e-05,-79.00882048,-2.907693089,-79.00882048,-2.907693089,-100.6875,-79.008792,-2.90766,-79.008792,-2.90766,-105.02,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-4.332499999999996,4.332499999999996
39,40331,4.216514177410386e-05,-79.00857767,-2.907692659,-79.00857767,-2.907692659,-100.5,-79.008551,-2.90766,-79.008551,-2.90766,-104.53,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-4.030000000000001,4.030000000000001
40,40332,4.070824098667133e-05,-79.00833487,-2.907692228,-79.00833487,-2.907692228,-100.375,-79.00831,-2.90766,-79.00831,-2.90766,-104.05,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-3.674999999999997,3.674999999999997
41,40333,3.987396154215764e-05,-79.00809206,-2.907691797,-79.00809206,-2.907691797,-100.375,-79.008068,-2.90766,-79.008068,-2.90766,-103.55,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-3.174999999999997,3.174999999999997
42,40334,3.846292095972404e-05,-79.00784926,-2.907691367,-79.00784926,-2.907691367,-100.3125,-79.007827,-2.90766,-79.007827,-2.90766,-103.06,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-2.7475000000000023,2.7475000000000023
43,40335,3.7084209520274434e-05,-79.00760645,-2.907690936,-79.00760645,-2.907690936,-100.3125,-79.007586,-2.90766,-79.007586,-2.90766,-102.57,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-2.257499999999993,2.257499999999993
44,40336,3.628605138291467e-05,-79.00736365,-2.907690505,-79.00736365,-2.907690505,-100.4375,-79.007344,-2.90766,-79.007344,-2.90766,-102.08,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-1.6424999999999983,1.6424999999999983
45,40337,3.4972388769193755e-05,-79.00712085,-2.907690074,-79.00712085,-2.907690074,-100.6875,-79.007103,-2.90766,-79.007103,-2.90766,-101.59,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-0.9025000000000034,0.9025000000000034
46,40338,3.370443663935101e-05,-79.00687804,-2.907689643,-79.00687804,-2.907689643,-101.1875,-79.006862,-2.90766,-79.006862,-2.90766,-101.11,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,0.07750000000000057,0.07750000000000057
47,40339,3.2948422479693106e-05,-79.00663524,-2.907689212,-79.00663524,-2.907689212,-101.75,-79.00662,-2.90766,-79.00662,-2.90766,-100.65,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,1.0999999999999943,1.0999999999999943
48,40349,2.4900724889218033e-05,-79.00420719,-2.9076849,-79.00420719,-2.9076849,-101.875,-79.004207,-2.90766,-79.004207,-2.90766,-97.55,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,4.325000000000003,4.325000000000003
49,40356,2.3823765106384907e-05,-79.00250757,-2.907681878,-79.00250757,-2.907681878,-101.9375,-79.002517,-2.90766,-79.002517,-2.90766,-98.27,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,3.667500000000004,3.667500000000004
50,40357,2.421298238169933e-05,-79.00226476,-2.907681446,-79.00226476,-2.907681446,-101.25,-79.002276,-2.90766,-79.002276,-2.90766,-98.6,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,2.6500000000000057,2.6500000000000057
51,40358,2.4218790143989623e-05,-79.00202196,-2.907681014,-79.00202196,-2.907681014,-100.8125,-79.002034,-2.90766,-79.002034,-2.90766,-98.95,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,1.8624999999999972,1.8624999999999972
52,40359,2.480250641011226e-05,-79.00177916,-2.907680582,-79.00177916,-2.907680582,-100.8125,-79.001793,-2.90766,-79.001793,-2.90766,-99.35,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,1.4625000000000057,1.4625000000000057
53,40360,2.5513623817088685e-05,-79.00153635,-2.90768015,-79.00153635,-2.90768015,-100.75,-79.001552,-2.90766,-79.001552,-2.90766,-99.74,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,1.0100000000000051,1.0100000000000051
54,40361,2.5678056568588945e-05,-79.00129355,-2.907679717,-79.00129355,-2.907679717,-100.5,-79.00131,-2.90766,-79.00131,-2.90766,-100.14,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,0.35999999999999943,0.35999999999999943
55,40362,2.6558215775260448e-05,-79.00105074,-2.907679285,-79.00105074,-2.907679285,-100.5625,-79.001069,-2.90766,-79.001069,-2.90766,-100.57,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-0.007499999999993179,0.007499999999993179
56,40363,2.7528879543011537e-05,-79.00080794,-2.907678853,-79.00080794,-2.907678853,-100.625,-79.000828,-2.90766,-79.000828,-2.90766,-101.03,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-0.40500000000000114,0.40500000000000114
57,40364,2.782935214262002e-05,-79.00056514,-2.907678421,-79.00056514,-2.907678421,-100.8125,-79.000586,-2.90766,-79.000586,-2.90766,-101.53,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-0.7175000000000011,0.7175000000000011
58,40365,2.8939541179496634e-05,-79.00032233,-2.907677988,-79.00032233,-2.907677988,-100.9375,-79.000345,-2.90766,-79.000345,-2.90766,-102.05,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-1.1124999999999972,1.1124999999999972
59,40366,3.0116341676571704e-05,-79.00007953,-2.907677556,-79.00007953,-2.907677556,-101.125,-79.000104,-2.90766,-79.000104,-2.90766,-102.61,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-1.4849999999999994,1.4849999999999994
60,40367,3.052546929600708e-05,-78.99983673,-2.907677124,-78.99983673,-2.907677124,-101.3125,-78.999862,-2.90766,-78.999862,-2.90766,-103.16,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-1.8474999999999966,1.8474999999999966
61,40368,3.181062529268366e-05,-78.99959392,-2.907676691,-78.99959392,-2.907676691,-101.5,-78.999621,-2.90766,-78.999621,-2.90766,-103.68,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-2.180000000000007,2.180000000000007
62,40369,3.314226125548111e-05,-78.99935112,-2.907676259,-78.99935112,-2.907676259,-101.6875,-78.99938,-2.90766,-78.99938,-2.90766,-104.12,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-2.4325000000000045,2.4325000000000045
63,40370,3.363576483218143e-05,-78.99910832,-2.907675826,-78.99910832,-2.907675826,-101.9375,-78.999138,-2.90766,-78.999138,-2.90766,-104.5,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-2.5625,2.5625
64,40624,4.907677965576332e-05,-79.01027773,-2.907451549,-79.01027773,-2.907451549,-101.8125,-79.010241,-2.907419,-79.010241,-2.907419,-107.52,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-5.707499999999996,5.707499999999996
65,40625,4.819330930448998e-05,-79.01003493,-2.907451119,-79.01003493,-2.907451119,-101.4375,-79.009999,-2.907419,-79.009999,-2.907419,-107.06,4bc87b61-ad10-4048-a2ba-0c12ebd2bb5e,-5.622500000000002,5.622500000000002
