type	GSM
timestamp	12:04:33	13-June-2026
resolution	23
xmin	-79.02458269
xmax	-78.98328462
ymin	-2.914140518
ymax	-2.875179666
x_num_pixels	200
y_num_pixels	187


-78.99459309;-2.913255426;	Site2_1;-101.1250
-78.99438626;-2.913255056;	Site2_1;-101.1250
-78.99417943;-2.913254686;	Site2_1;-101.1875
-78.99397259;-2.913254316;	Site2_1;-101.2500
-78.99376576;-2.913253945;	Site2_1;-101.3125
-78.99355893;-2.913253575;	Site2_1;-101.3125
-78.99335210;-2.913253205;	Site2_1;-101.3125
-78.99314526;-2.913252835;	Site2_1;-101.3750
-78.99293843;-2.913252464;	Site2_1;-101.4375
-78.99273160;-2.913252094;	Site2_1;-101.5000
-78.99252477;-2.913251723;	Site2_1;-101.5625
-78.99231793;-2.913251353;	Site2_1;-101.5625
-78.9921111;-2.913250982;	Site2_1;-101.6250
-78.99190427;-2.913250612;	Site2_1;-101.7500
-78.99169744;-2.913250241;	Site2_1;-101.8125
-78.99149060;-2.913249871;	Site2_1;-101.8125
-78.99128377;-2.9132495;	Site2_1;-101.8750
-78.99107694;-2.913249129;	Site2_1;-102.0000
-79.01734523;-2.913087947;	Site2_4;-102.0000
-79.01713840;-2.913087581;	Site2_4;-101.8750
-79.01693156;-2.913087215;	Site2_4;-101.8125
-79.01672472;-2.913086849;	Site2_4;-101.7500
-79.01651789;-2.913086483;	Site2_4;-101.7500
-79.01631105;-2.913086117;	Site2_4;-101.6250
-79.01610422;-2.913085751;	Site2_4;-101.5625
-79.01589738;-2.913085385;	Site2_4;-101.5000
-79.01569055;-2.913085019;	Site2_4;-101.5000
-79.01548371;-2.913084652;	Site2_4;-101.4375
-79.01527688;-2.913084286;	Site2_4;-101.3125
-79.01507004;-2.91308392;	Site2_4;-101.2500
-79.01486321;-2.913083554;	Site2_4;-101.2500
-79.01465637;-2.913083187;	Site2_4;-101.1875
-79.01444953;-2.913082821;	Site2_4;-101.1250
-79.01424270;-2.913082455;	Site2_4;-101.0625
-79.01403586;-2.913082088;	Site2_4;-101.0625
-79.01382903;-2.913081722;	Site2_4;-101.0625
-79.01362219;-2.913081355;	Site2_4;-101.0000
-79.01341536;-2.913080989;	Site2_4;-101.0000
-79.01320852;-2.913080622;	Site2_4;-101.0000
-79.01300169;-2.913080255;	Site2_4;-100.9375
-79.01279485;-2.913079889;	Site2_4;-100.8750
-79.01258802;-2.913079522;	Site2_4;-100.8750
-79.01238118;-2.913079155;	Site2_4;-100.8750
-79.01217435;-2.913078788;	Site2_4;-100.8750
-79.01196751;-2.913078422;	Site2_4;-100.8750
-79.01176068;-2.913078055;	Site2_4;-100.8750
-79.01155384;-2.913077688;	Site2_4;-100.9375
-79.01134701;-2.913077321;	Site2_4;-101.0000
-79.01114017;-2.913076954;	Site2_4;-101.0000
-79.01093334;-2.913076587;	Site2_4;-101.0000
-79.01072650;-2.91307622;	Site2_4;-101.0000
-79.01051967;-2.913075853;	Site2_4;-101.0000
-79.01031283;-2.913075486;	Site2_4;-101.0625
-79.01010600;-2.913075118;	Site2_4;-101.0625
-79.00989916;-2.913074751;	Site2_4;-101.1875
-79.00969233;-2.913074384;	Site2_4;-101.2500
-79.00948549;-2.913074017;	Site2_4;-101.2500
-79.00927866;-2.913073649;	Site2_4;-101.3750
-79.00907182;-2.913073282;	Site2_4;-101.4375
-79.00886499;-2.913072915;	Site2_4;-101.5000
-79.00865815;-2.913072547;	Site2_4;-101.6250
-79.00845132;-2.91307218;	Site2_4;-101.6875
-79.00824449;-2.913071812;	Site2_4;-101.7500
-79.00803765;-2.913071445;	Site2_4;-101.8750
-79.00783082;-2.913071077;	Site2_4;-102.0000
-79.00038479;-2.913057818;	Site2_1;-102.0000
-79.00017796;-2.913057449;	Site2_1;-101.8750
-78.99997112;-2.91305708;	Site2_1;-101.8125
-78.99976429;-2.913056711;	Site2_1;-101.7500
-78.99955746;-2.913056342;	Site2_1;-101.6250
-78.99935062;-2.913055973;	Site2_1;-101.5000
-78.99914379;-2.913055604;	Site2_1;-101.5000
-78.99893696;-2.913055234;	Site2_1;-101.3750
-78.99873012;-2.913054865;	Site2_1;-101.3125
-78.99852329;-2.913054496;	Site2_1;-101.2500
-78.99831646;-2.913054127;	Site2_1;-101.1875
-78.99810962;-2.913053757;	Site2_1;-101.1250
-78.99790279;-2.913053388;	Site2_1;-101.0625
-78.99769596;-2.913053018;	Site2_1;-101.0625
-78.99748912;-2.913052649;	Site2_1;-101.0000
-78.99728229;-2.913052279;	Site2_1;-100.9375
-78.99707546;-2.91305191;	Site2_1;-100.8750
-78.99686862;-2.91305154;	Site2_1;-100.8750
-78.99666179;-2.91305117;	Site2_1;-100.8750
-78.99645496;-2.913050801;	Site2_1;-100.8750
-78.99624812;-2.913050431;	Site2_1;-100.8750
-78.99604129;-2.913050061;	Site2_1;-100.8750
-78.99583446;-2.913049691;	Site2_1;-100.8750
-78.99562763;-2.913049322;	Site2_1;-100.8750
-78.99542079;-2.913048952;	Site2_1;-100.8750
-78.99521396;-2.913048582;	Site2_1;-100.8750
-78.99500713;-2.913048212;	Site2_1;-100.8750
-78.99480029;-2.913047842;	Site2_1;-100.8750
-78.99459346;-2.913047472;	Site2_1;-100.8750
-78.99438663;-2.913047102;	Site2_1;-100.9375
-78.99417980;-2.913046732;	Site2_1;-101.0000
-78.99397296;-2.913046362;	Site2_1;-101.0625
-78.99376613;-2.913045991;	Site2_1;-101.0625
-78.99355930;-2.913045621;	Site2_1;-101.1250
-78.99335246;-2.913045251;	Site2_1;-101.1250
-78.99314563;-2.913044881;	Site2_1;-101.1875
-78.99293880;-2.91304451;	Site2_1;-101.2500
-78.99273197;-2.91304414;	Site2_1;-101.3125
-78.99252513;-2.913043769;	Site2_1;-101.3125
-78.99231830;-2.913043399;	Site2_1;-101.3750
-78.99211147;-2.913043029;	Site2_1;-101.5000
-78.99190464;-2.913042658;	Site2_1;-101.5625
-78.99169780;-2.913042287;	Site2_1;-101.5625
