atoll_idx,rf_idx,match_distance_m,lon,lat,x_m,y_m,atoll_dbm,rf_lon,rf_lat,rf_x_m,rf_y_m,rf_dbm,antenna_id,error_db,abs_error_db
48226,54822,8.18142679629314e-05,-78.82991138,-2.830607179,-78.82991138,-2.830607179,-90.125,-78.829991,-2.830626,-78.829991,-2.830626,-75.65,94fda027-a5c4-46bc-a0db-69e6471c8ba3,14.474999999999994,14.474999999999994
48227,54823,2.257841670570263e-05,-78.82949779,-2.830606401,-78.82949779,-2.830606401,-90.3125,-78.829509,-2.830626,-78.829509,-2.830626,-75.82,94fda027-a5c4-46bc-a0db-69e6471c8ba3,14.492500000000007,14.492500000000007
48228,54824,6.166410729734146e-05,-78.8290842,-2.830605623,-78.8290842,-2.830605623,-90.5625,-78.829026,-2.830626,-78.829026,-2.830626,-75.99,94fda027-a5c4-46bc-a0db-69e6471c8ba3,14.572500000000005,14.572500000000005
48229,54825,0.00012934193571985495,-78.8286706,-2.830604844,-78.8286706,-2.830604844,-90.75,-78.828543,-2.830626,-78.828543,-2.830626,-76.16,94fda027-a5c4-46bc-a0db-69e6471c8ba3,14.590000000000003,14.590000000000003
48230,54826,0.00019723352738194917,-78.82825701,-2.830604065,-78.82825701,-2.830604065,-90.9375,-78.828061,-2.830626,-78.828061,-2.830626,-76.33,94fda027-a5c4-46bc-a0db-69e6471c8ba3,14.607500000000002,14.607500000000002
48232,54827,0.00015002074178199976,-78.82742983,-2.830602508,-78.82742983,-2.830602508,-91.3125,-78.827578,-2.830626,-78.827578,-2.830626,-76.5,94fda027-a5c4-46bc-a0db-69e6471c8ba3,14.8125,14.8125
48233,54828,8.241521451186144e-05,-78.82701624,-2.830601728,-78.82701624,-2.830601728,-91.5,-78.827095,-2.830626,-78.827095,-2.830626,-76.66,94fda027-a5c4-46bc-a0db-69e6471c8ba3,14.840000000000003,14.840000000000003
48234,54829,2.7104890719905114e-05,-78.82660265,-2.830600949,-78.82660265,-2.830600949,-91.6875,-78.826613,-2.830626,-78.826613,-2.830626,-76.83,94fda027-a5c4-46bc-a0db-69e6471c8ba3,14.857500000000002,14.857500000000002
48235,54830,6.44522412244283e-05,-78.82618905,-2.83060017,-78.82618905,-2.83060017,-91.9375,-78.82613,-2.830626,-78.82613,-2.830626,-76.99,94fda027-a5c4-46bc-a0db-69e6471c8ba3,14.947500000000005,14.947500000000005
48236,54831,0.0001311871323711557,-78.82577546,-2.83059939,-78.82577546,-2.83059939,-92.125,-78.825647,-2.830626,-78.825647,-2.830626,-77.15,94fda027-a5c4-46bc-a0db-69e6471c8ba3,14.974999999999994,14.974999999999994
