X_m,Y_m,Latitud,Longitud,RSRP_Ant1_dBm,RSRP_Ant2_dBm,RSRP_Ant3_dBm,RSRP_Max_dBm,PathLoss_Ant1_dB,PathLoss_Ant2_dB,PathLoss_Ant3_dB,PLOS_Ant1,PLOS_Ant2,PLOS_Ant3,Best_Antenna_ID
2220,40,-2.89761406766728,-78.9848961761124,-124.455717260934,-104.70460753312,-131.970762774801,-104.70460753312,154.970762774801,154.970762774801,154.970762774801,0.00809308531044285,0.00809308531044285,0.00809308531044285,2
2220,60,-2.89743410150092,-78.9848961761124,-124.200898902964,-104.799118769754,-131.974212276601,-104.799118769754,154.974212276601,154.974212276601,154.974212276601,0.00809146540214127,0.00809146540214127,0.00809146540214127,2
2220,80,-2.89725413533456,-78.9848961761124,-123.94907224764,-104.896453973003,-131.979038698925,-104.896453973003,154.979038698925,154.979038698925,154.979038698925,0.00808919941902796,0.00808919941902796,0.00808919941902796,2
2220,100,-2.8970741691682,-78.9848961761124,-123.700273360573,-104.996593565589,-131.98523971092,-104.996593565589,154.98523971092,154.98523971092,154.98523971092,0.00808628898966215,0.00808628898966215,0.00808628898966215,2
2220,120,-2.89689420300184,-78.9848961761124,-123.454536545293,-105.099516421913,-131.99281232238,-105.099516421913,154.99281232238,154.99281232238,154.99281232238,0.00808273620219915,0.00808273620219915,0.00808273620219915,2
2220,140,-2.89671423683548,-78.9848961761124,-123.211894316497,-105.205199893798,-132.001752888544,-105.205199893798,155.001752888544,155.001752888544,155.001752888544,0.00807854360023478,0.00807854360023478,0.00807854360023478,2
2220,160,-2.89653427066911,-78.9848961761124,-122.972377376514,-105.313619838761,-132.012057115901,-105.313619838761,155.012057115901,155.012057115901,155.012057115901,0.00807371417776785,0.00807371417776785,0.00807371417776785,2
2220,180,-2.89635430450275,-78.9848961761124,-122.736014594955,-105.424750650771,-132.023720069025,-105.424750650771,155.023720069025,155.023720069025,155.023720069025,0.00806825137328955,0.00806825137328955,0.00806825137328955,2
2220,200,-2.89617433833639,-78.9848961761124,-122.502832991648,-105.538565293374,-132.036736178383,-105.538565293374,155.036736178383,155.036736178383,155.036736178383,0.00806215906302517,0.00806215906302517,0.00806215906302517,2
2220,220,-2.89599437217003,-78.9848961761124,-122.2728577228,-105.655035335096,-132.051099249115,-105.655035335096,155.051099249115,155.051099249115,155.051099249115,0.00805544155335725,0.00805544155335725,0.00805544155335725,2
